"";"reportyear";"n";"prihod";"izvoz";"uvoz";"dug";"rad";"mim";"nim";"placa";"kapital";"dv";"GEO"
"1";2000;8;11748912;0;0;6280809;31;10561793;8073;12554654483430,8;8787160;1381081;"Dvor"
"2";2001;15;13976303;20849;0;11302265;66;44955389;0;8402097083333,33;40389557;1452836;"Dvor"
"3";2002;18;15064649;757860;8402;14380369;73;46618501;137483;8206779943249,7;40434923;3054534;"Dvor"
"4";2003;20;17234930;2140456;88172;11739437;69;22792679;137483;8649280675010,7;17904267;2260746;"Dvor"
"5";2004;23;16331521;1951489;302820;20687597;88;40414200;3128682;10365204610762,8;32436746;1463030;"Dvor"
"6";2005;20;16132339;6025102;517098;23623743;80;38022192;3221955;12308045238095,2;26604626;3027372;"Dvor"
"7";2006;17;27955458;3802287;10956859;17627037;67;20355237;156747;16860045967023,2;14224812;8481149;"Dvor"
"8";2007;15;41557432;6116341;14793025;37226453;71;51178424;35448;13741840472028;41161749;12752026;"Dvor"
"9";2008;20;60642614;3855787;24417091;57119060;46;59433802;80839;15935332822712,4;47858494;12220166;"Dvor"
"10";2009;26;63423619;4697851;26799430;76218049;86;50713521;1580181;15896292681245,1;39585903;-1040710;"Dvor"
"11";2010;24;107335334;4976971;53440317;111912790;107;51081391;1366313;Inf;34459422;10291892;"Dvor"
"12";2011;21;20760669;2117410;45170;55235458;57;37966493;887813;Inf;7444067;2304869;"Dvor"
"13";2012;17;18045907;4122767;0;47793916;52;35228948;73828;18134215972222,2;4567341;1390700;"Dvor"
"14";2013;17;30601192;4683091;47866;47028863;89;34578942;34533;18375682142857,1;7545346;9091715;"Dvor"
"15";2014;18;23936442;4577144;0;29505195;78;30768179;64678;21945367681498,8;18597922;7504007;"Dvor"
"16";2015;15;25263524;6380795;94537;30226261;89;35191605;80256;15462959186159,8;29062578;7883853;"Dvor"
"17";2016;21;31354548;10835465;2140;55396584;123;43811428;4519;Inf;20367853;8156129;"Dvor"
"18";2017;16;42438722;10241499;43445;46263461;91;36977723;3907;Inf;9435717;14265664;"Dvor"
"19";2018;21;45576769;14513390;180598;33738741;87;33568326;5908;24109952660406,9;13929367;13373208;"Dvor"
"20";2019;26;42955333;12539770;430981;35726631;119;42202512;4032;17531801925025,3;14520784;11569286;"Dvor"
