"";"subjectid";"Zaposleni";"d_dug";"k_dug";"matimov";"kapital_rezerve";"osnovni_kapital";"nematimov";"prihod";"placa_net";"placa_brutto";"amortizacija";"financijski_trosak";"porez_dobit";"nett";"materijalni_trosak";"d_obveze";"k_obveze";"Export";"Import";"energy";"reportyear";"employeecounteop";"foreigncontrol";"nacerev21";"nacerev22";"nacerev23";"nacerev24";"countyid";"municipalityid";"NAZIV_OPC";"ZUPANIJA";"NAZIV_ZUP";"naziv";"adresa";"godinaOsnivanja"
"1";"00123714";4;0;0,000347499;0,000475693;0,000380764;0,000288302;0;0,000611901;0,000103026;0,000148086;6,6038e-05;0;0;3,6769e-05;0,000328804;0;0,000347499;0;0;3,2417e-05;2002;4;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"2";"00123714";6;0,003095258;0,000858413;0,007204531;0,003561705;0,00323;0;0,001609178;0,000268741;0,0004035;0,000152;5,73e-07;0;1,206e-06;0,000983741;0,003095258;0,000858413;0;0;0,000186453;2014;6;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"3";"00123714";7;0,00502024;0,000910603;0,008702702;0,003554481;0,00323;0;0,001435708;0,000137201;0,000171362;0,000729877;0,000104123;0;1,222e-06;0,000429341;0,00502024;0,000910603;0;0;0,00011232;2008;7;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"4";"00123714";7;0,004052158;0,000931239;0,007965393;0,003564888;0,00323;0;0,001023181;0,000249576;0,000411679;0,000125;3,921e-06;0;5,316e-06;0,000414943;0,004052158;0,000931239;0;0;0,000245832;2011;7;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"5";"00123714";NA;0,003498112;1,6917e-05;0,00695118;0,003941607;0,00323;0;0,003603278;0,000358036;0,000514216;0,001498467;1,16e-07;0;0,000223416;0,00120301;0,003498112;1,6917e-05;0;0;0,000295464;2017;10;0;"";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"6";"00123714";7;0,005754002;0,00035352;0,009116758;0,003554256;0,00323;0;0,001482015;0,000201321;0,000299345;0,00030257;0,000240344;0;7,107e-06;0,000580355;0,005754002;0,00035352;0;0;0,00012668;2007;7;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"7";"00123714";7;0,00458088;0,000180703;0,007969777;0,003559621;0,00323;0;0,001040319;0,000225281;0,000331091;0,000269115;6,36e-06;0;2,14e-07;0,000374034;0,00458088;0,000180703;0;0;0,000176798;2010;7;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"8";"00123714";5;0,000229742;0,000384336;0,003695382;0,003565535;0,00323;0;0,001352195;0,000119277;0,000181802;8,4827e-05;0;0;0,000243073;0,000810565;0,000229742;0,000384336;0;0;4,5584e-05;2003;5;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"9";"00123714";6;0,003595496;6,3676e-05;0,006712012;0,003715355;0,00323;0;0,002158911;0,000255385;0,000374324;0,00081299;2,63e-07;0;0,00015365;0,000651025;0,003595496;6,3676e-05;0;0;0,000145763;2015;6;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"10";"00123714";7;0,004660625;0,000796286;0,008229576;0,003559407;0,00323;0;0,001021623;0,000122371;0,000235006;0,000439801;4,94e-06;0;3,03e-07;0,000311569;0,004660625;0,000796286;0;0;0;2009;7;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
